ace	af	als	am	an	ang	ar	as	ast	ay	az	ba	bat-smg	bcl	be	be-x-old	bg	bi	bjn	bn	br	bs	ca	cdo	ceb	chr	chy	ckb	co	cs	cv	cy	da	de	diq	el	eml	en	eo	es	et	eu	ext	fa	fi	fiu-vro	fo	fr	frr	fur	fy	ga	gan	gd	gl	gn	gu	gv	haw	he	hi	hif	hr	ht	hu	hy	ia	id	ilo	io	is	it	iu	ja	jbo	jv	ka	kab	kbd	ki	kk	km	kn	ko	krc	ksh	ku	ky	la	lb	lez	li	ln	lo	lt	lv	map-bms	mg	mhr	min	mk	ml	mn	mr	mrj	ms	mwl	my	nah	nap	nds	nds-nl	ne	new	nl	nn	no	nv	oc	om	or	pa	pam	pap	pl	pnb	ps	pt	qu	rm	ro	ru	rue	rw	sa	sah	scn	sco	sh	si	simple	sk	sl	sn	so	sq	sr	srn	su	sv	sw	szl	ta	te	tg	th	tl	tr	tt	ug	uk	ur	uz	vec	vep	vi	vls	wa	war	wikidata	wuu	xal	xmf	yi	yo	za	zh	zh-classical	zh-min-nan	zh-yue
						بَرَد													Tsunami lessons			Sobresalt gamma											Heimliche Epidemie				Seismicity		Ciclon extratropical				موج گرما				Grele																								Lampo gamma		森林火災										감마선 버스트																	Snøskred														Gammaflitsen													Epidêmico																						Tromber							Grass fire																				热带气旋				
						البَرَد													Tsunami wave train			Esclats de rajos gamma											Tropischer Wirbelsturm				Earth quakes		Ciclón de media latitud				آتش‌سوزی جنگل				Grêlon																								Gamma ray burster		山林火災										감마선 폭발																	Поплава														Gamma-ray burst													Epidemias																													Grassfire																				熱帶低氣壓				
						البرد													Tsumani			GRB											Tropischer Sturm				Tectonic earthquake		Ciclon de latitud media				آتش سوزي جنگل				Impact cosmique																								Gamma Ray Burst		林野火災										토네이도																	Oorstroming														Tornado													Ciclone tropical																													Grass-fire																				热带低气压				
						بارد													津波			Explosió de raigs gamma											Tropensturm				Site effects		Ciclogénesis explosiva				اتش سوزی جنگل				Impact de météorite																								Lampi gamma		雹										용오름																	Inundación																											Tempestade tropical																													Hill fire																				熱帶性低氣壓				
						اصطدام													Famous Tsunamis			Gamma-ray burst											Sonneneruption				The kinds of earthquakes		Tsunami				آتش سوزی جنگل				Impact météoritique																								Gamma ray burst		隕石衝突																											فيضان																											Depressão tropical																													Hillfire																				熱帶低壓				
						وباء													Mathematics of Tsunamis			Esclats de raigs gamma											Sonnenflare				Quake weapons		Tsunamis				اتش سوزي جنگل				Impact terrestre																								Tromba d'aria		天体衝突																											Наводнение																											Furacão																													Hill-fire																				耀斑				
						أوبئة													Sunami			Tornado											Gammablitz				Earth quake		Maremotos				اتش‌سوزی جنگل				Impact d'astéroïde																								Tornado		伝染病																											বন্যা																											Tufões																													Vegetation fire																				太陽耀斑				
						Epidemic													Tsunami wave			Tornados											Gammastrahlenblitz				Seism		Tsunami				تگرگ				Épidémie																								Tromba d’aria		伝染																											Dour-beuz																											Tufão																													Sunog sa behetasyon																				太陽閃焰				
						الأوبئة													Cunami														Gamma ray bursts				Seismic activity		Maremoto				فرسایش خاک				Épidémique																										産道感染																											Poplava																											Perturbação tropical																													Wildland fire																				閃焰				
						إعصار استوائي													Hydroseismic wave														Gamma ray burst				Main shock		Sunami				همه‌گیری				Epidemie																										胎内感染																											Povodeň																											Furacões																													Wildland-fire																				恆星耀斑				
						Tropical cyclone													Tsunamite														Gammastrahlen-Explosion				Seismic movement		Maremoto tectónico				همه‌گیر				Risque épidémique																										エピデミック																											Llifogydd																											Tempestades tropicais																													Vegetation-fire																				伽玛射线暴				
						إعصار إستوائي													Soonami														Gammablitze				Earthshake		Sequía				اپیدمی				Epidémie																										地方流行																											Oversvømmelse																											Ciclones tropicais																													Sunog ng gubat																				Γ射线暴				
						أعصار إستوائي													খরা														Gammastrahlenblitze				地震		Sequia				همه‌گير				Épidémies																										エンデミック																											Hochwasser																											Supertufão																													Sunog-gubat																				伽玛暴				
						أعصار استوائي													Drought														Gammastrahlenausbruch				Seismically active		Sequias				اپيدمي				Cyclone tropical																										伝染性疾病																											Flood																											Erupção solar																													Hail																				伽馬射線暴				
						إعصار مداري													Droughts														Gammaburst				Low-magnitude earthquake		Sequías				همه گير				Ouragan																										熱帯低気圧																											Inundo																											Erupções solares																													Bagyo																				伽马暴				
						انفجار شمسي													Water Scarcity														Gamma Burst				Seismic event		Sequedad				همه گيري				Typhon																										熱帯性低気圧																											Üleujutus																											Erupção de raios gama																													Tropical cyclone																				伽傌射線爆發				
						انفجارات الشمسية													Severe drought														Gamma-Burst				Extratropical cyclone		Ola de calor				همه گیری				Chubasco																										アイ・ウォール																											Uholde																											Erupções de raios gama																													Typhoon																				伽瑪射線暴				
						توهج شمسي													Drouth														Gamma Ray Burst				Extratropical		Incendio forestal				همه گیر				Ouragans																										スパイラル・バンド																											سیل																											Tornado																													Tai feng																				伽马射线暴				
						اللهب الشمسي													Drouths														Gammastrahlenexplosion				Extratropical storm		Incendios forestales				توفند				Cyclone Tropical																										アウターレインバンド																											Tulva																											Landspout																													Tai-feng																				伽瑪射線爆發				
						انفجار الشمس													Droughting														Gamma-ray burst				Extratropical cyclones		Contrafuego				هاريكان				Typhons																										熱低																											Üleujotus																											Tornados																													Taifeng																				余辉				
						انفجار أشعة غاما													Droughted														Gammastrahlungsausbruch				Weather bomb		Uxía senlle				تندباد دريايي				Ouragan																										太陽フレア																											Inondation																																																								Typhoons																				龍捲風				
						طرناد													Drouthing														Tornado				Warm seclusion		Granizo				تندباد دریایی				Typhon																										ソーラーフレア																											Tuile																																																								Malakas na unos																				龙卷风				
																			Drouthed														Wasserhose				Extratropical low		Granizada				فرسایش خاک				Éruption solaire																										ガンマ線バースト																											水澇																																																								Unos na malakas																				陸龍捲				
																			তাপদাহ														Windhose				Mid-latitude cyclone		Pedrisco				شراره خورشیدی				Éruptions solaires																										Γ線バースト																											પૂર																																																								Buhawi																				龙吸水				
																			তাপদহ														Großtrombe				Baroclinic cyclone		Impacto astronómico				شراره‌ی خورشیدی				Eruption solaire																										竜巻																											שיטפון																																																								Tornado																				龙卷				
																			টর্নেডো														Feuchtekonvektion				Extratropical transition		Episodio de impacto				شراره خورشيدي				Sursaut gamma																										F-Scale																											बाढ़																																																								Ipo-ipo																								
																			Tornado														Mesozyklonale				Extra-tropical cyclone		Impacto astronomico				شرارهٔ خورشیدی				Sursauts gamma																										鱏の尾																											Inondasyon																																																								Ipu-ipo																								
																			Tornadoes																		Water cyclone		Epidemia				شرارهٔ خورشيدي				Explosion de rayons gamma																										竜巻注意情報																											Árvíz																																																								Ipu-ipu																								
																			Twisters																		Frontal cyclone		Epidemias				شراره ي خورشيدي				Sursauts de rayons gamma																										水上竜巻																											Ջրհեղեղ																																																								Ipo-ipu																								
																			Tornadic																		Midlatitude cyclone		Ciclón tropical				شراره ی خورشیدی				Tornade																																																					Banjir																																																								Ipuipo																								
																			Tornado season																		Wave cyclone		Tifones				انفجار پرتوی گاما				Tornade																																																					Diluvio																																																								Ipoipo																								
																			Wedge Tornado																		Wave Cyclones		Huracanes				فوران پرتو گاما				Les tornades																																																					Flóð																																																								Ipuipu																								
																			Occluded mesocyclone																		Extratropical Depression		Tormenta tropical				انفجار پرتو گاما				Mini-tornade																																																					Inondazione																																																								Ipoipu																								
																			Wedge tornado																		Extra tropical low		Depresión tropical				انفجار پرتوي گاما				Mini tornade																																																					洪水																																																								Turnado																								
																			Occluded Mesocyclone																		Frontal wave		Tifón				جی‌آربی				Tuba																																																					წყალდიდობა																																																								Torneydo																								
																			Tornado's																		Midlatitude cyclones		Supertifón				جي آربي				Gustnado																																																					ಪ್ರವಾಹ																																																								Torneido																								
																			Tornando																		Non-tropical cyclonic storm		Huracan				جی آربی				Trombe terrestre																																																					홍수																																																								Turneydo																								
																			Satellite tornado																		Tsunami		Baguió				جی‌اربی				Landspout																																																					Lehî																																																								Turneido																								
																			Dangerous tornadoes																		Seaquake		Ciclon tropical				جي اربي				Tornades																																																					Inundatio																																																								Alimpuyo ng hangin																								
																			F6 tornado																		Tunami		Huracan				جی اربی				Formations de tornades																																																					Potvynis																																																								Uli-uli ng hangin																								
																			Safest place in a tornado																		Tsunamis		Tifon				پیچند				Abri anti-tornade																																																					Plūdi																																																								Buhawi ng hangin																								
																																					Tital wave		Huracán				توفان پیچنده				Abris anti-tornade																																																					Tondra-drano																																																																																
																																					Tsunnami		Ciclones tropicales				پيچند																																																									Үер																																																																																
																																					Tsunami lessons		Supertifon				فرسایش خاک																																																									पूर																																																																																
																																					Tsunami wave train		Depresion tropical				توفانِ پیچنده																																																									Overstroming																																																																																
																																					LIFECYCLE Fundraising		Tifon				توفان پيچنده																																																									Flaum																																																																																
																																					Tsumani		Huracán				توفانِ پيچنده																																																									Flom																																																																																
																																					津波		Tifón																																																													Powódź																																																																																
																																					Famous Tsunamis		Huracan																																																													Inundação																																																																																
																																					Mathematics of Tsunamis		Huracán																																																													Nuyuy																																																																																
																																					Sunami		Tifón																																																													Inundație																																																																																
																																					Tsunami wave		Tifon																																																													Allavinamentu																																																																																
																																					Cunami		Erupción solar																																																													Översvämning																																																																																
																																					Hydroseismic wave		Erupción cromosférica																																																													Mafuriko																																																																																
																																					Soonami		Erupcion solar																																																													வெள்ளம்																																																																																
																																					Tsunami vs hurricane		Erupcion cromosferica																																																													వరద																																																																																
																																					Drought		Erupción cromosferica																																																													อุทกภัย																																																																																
																																					Droughts		Erupcion cromosférica																																																													Baha																																																																																
																																					Severe drought		Llamarada solar																																																													Повінь																																																																																
																																					Drouth		Brote de rayos gamma																																																													سیلاب																																																																																
																																					Drouths		Explosiones de rayos gamma																																																													Lụt																																																																																
																																					Droughting		Explosión de rayos gamma																																																													Grossès aiwes																																																																																
																																					Droughted		Estallido de rayos gamma																																																													Bahâ																																																																																
																																					Drouthing		Rafaga rayos gamma																																																													洪灾																																																																																
																																					Drouthed		BRG																																																													水浸																																																																																
																																					Dry spell		Grb																																																													Поплави																																																																																
																																					Drought protection		Erupcion de rayos gamma																																																													Daşqın																																																																																
																																					Drought relief		Explosion de rayos gamma																																																													Паводка																																																																																
																																					Protection from drought		Erupción de rayos gamma																																																													Πλημμύρα																																																																																
																																					"dry spell"		Erupciones de rayos gamma																																																													СЕЛ																																																																																
																																					Drought conditions		Brotes de rayos gamma																																																													ရေကြီးခြင်း																																																																																
																																					Heat wave		GRB																																																													Inondacion																																																																																
																																					Heat Wave		Tornado																																																													प्लावन																																																																																
																																					Heatwave		Tornados																																																													ගංවතුර																																																																																
																																					List of heat waves																																																															Caah																																																																																
																																					Heat storm																																																															Toā-chúi																																																																																
																																					Heat waves																																																															Земјотрес																																																																																
																																					Heat Storm																																																															Земјотреси																																																																																
																																					Hot spell																																																															Aardbewing																																																																																
																																					Heatwaves																																																															የመሬት መንቀጥቀጥ																																																																																
																																					Heat-waves																																																															Tierratremo																																																																																
																																					Heatwave																																																															زلزال																																																																																
																																					Wildfire																																																															Terremotu																																																																																
																																					Bush fire																																																															Zəlzələ																																																																																
																																					Brush fire																																																															Žemės kustiejėms																																																																																
																																					Forest fire																																																															Linog																																																																																
																																					Forest Fires																																																															Землетрасенне																																																																																
																																					Spreading like wildfire																																																															Землятрус																																																																																
																																					Wildfires																																																															Земетресение																																																																																
																																					Grass fire																																																															ভূমিকম্প																																																																																
																																					Wildland fire																																																															Kren-douar																																																																																
																																					Forest fires																																																															Potres																																																																																
																																					Wildland Fire																																																															Terratrèmol																																																																																
																																					Hill fire																																																															Zemětřesení																																																																																
																																					Brush Fire																																																															Daeargryn																																																																																
																																					Brush fires																																																															Jordskælv																																																																																
																																					Wild fire																																																															Erdbeben																																																																																
																																					Vegetation fire																																																															Erdlerz																																																																																
																																					Fire meteorology																																																															Σεισμός																																																																																
																																					Uncontrolled burn																																																															Earthquake																																																																																
																																					Veldfire																																																															Tertremo																																																																																
																																					Northwest Crown Fire Experiment																																																															Terremoto																																																																																
																																					Northwest Crown Fire Experiments																																																															Maavärin																																																																																
																																					Crown fire																																																															Lurrikara																																																																																
																																					Wildland fires																																																															زمین‌لرزه																																																																																
																																					Natural fires																																																															Maanjäristys																																																																																
																																					Natural fire																																																															Maavärrin																																																																																
																																					Vegetation ﬁre																																																															Jarðskjálvti																																																																																
																																					Hail																																																															Séisme																																																																																
																																					Hailstone																																																															Crith talún																																																																																
																																					Hail stone																																																															地震																																																																																
																																					Hailstones																																																															Crith-thalmhainn																																																																																
																																					Hail																																																															ધરતીકંપ																																																																																
																																					Roof Hail Damage																																																															רעידת אדמה																																																																																
																																					Hailstorms																																																															भूकंप																																																																																
																																					Hail storm																																																															Tranblemanntè																																																																																
																																					Impact event																																																															Földrengés																																																																																
																																					Earth impacts																																																															Երկրաշարժ																																																																																
																																					Earth impact																																																															Gempa bumi																																																																																
																																					Meteor impact																																																															Ter-tremo																																																																																
																																					Meteorite impact																																																															Jarðskjálfti																																																																																
																																					Asteroid impact																																																															ᓴᔪᑉᐱᓛᕗᖅ/sajuppilaavuq																																																																																
																																					Impact events																																																															Lindhu																																																																																
																																					Asteroid Impact																																																															მიწისძვრა																																																																																
																																					Asteroid crash																																																															Жер сілкіну																																																																																
																																					Comet impact																																																															ಭೂಕಂಪ																																																																																
																																					Meteoroid impact																																																															지진																																																																																
																																					Meteoric impact																																																															Äädbevve																																																																																
																																					Cosmic impacts																																																															Erdhej																																																																																
																																					Asteroid collision																																																															Terrae motus																																																																																
																																					Collision with an asteroid																																																															Äerdbiewen																																																																																
																																					Earth impactor																																																															Eerdsjók																																																																																
																																					Epidemic																																																															Žemės drebėjimas																																																																																
																																					Epidemics																																																															Zemestrīce																																																																																
																																					Epidemy																																																															ഭൂകമ്പം																																																																																
																																					Health disaster																																																															Газар хөдлөлт																																																																																
																																					Contractible disease																																																															ငလျင်လှုပ်ခြင်း																																																																																
																																					Epidemic illnesses																																																															Tlālolīniliztli																																																																																
																																					Global epidemics																																																															Eerdbeven																																																																																
																																					Outbreak of infection																																																															भुँइचालो																																																																																
																																					Tropical cyclone																																																															Aardbeving																																																																																
																																					Hurricane																																																															Jordskjelv																																																																																
																																					Tropical storm																																																															Kéyah haʼdéísná																																																																																
																																					Hurricanes																																																															Tèrratrem																																																																																
																																					Tropical depression																																																															Chocho'a lafa																																																																																
																																					Tropical cyclones																																																															Trzęsienie ziemi																																																																																
																																					Tropical storms																																																															Sismo																																																																																
																																					Hurricane Climate																																																															Pacha kuyuy																																																																																
																																					Huricane																																																															Terratrembel																																																																																
																																					Tropical depressions																																																															Cutremur																																																																																
																																					Fishspinner																																																															Землетрясение																																																																																
																																					Tropical Cyclone																																																															Tirrimotu																																																																																
																																					Southern Hemisphere tropical cyclone																																																															භූමිකම්පාව																																																																																
																																					Hurricain																																																															Zemetrasenie																																																																																
																																					Tropical Depression																																																															Dhulgariir																																																																																
																																					List of tropical depressions																																																															Tërmeti																																																																																
																																					Hurricaine																																																															Земљотрес																																																																																
																																					Tropical Cyclone Windspeed climatology																																																															Grontapubeyfi																																																																																
																																					Tropical Cyclone Windspeed Climatology																																																															Lini																																																																																
																																					Tropical cyclone wind speed climatology																																																															Jordbävning																																																																																
																																					Tropical Cyclone Wind Speed Climatology																																																															Tetemeko la ardhi																																																																																
																																					Tropical cyclone Windspeed Climatology																																																															Trzyńśyńy źymje																																																																																
																																					Tropical cyclone windspeed Climatology																																																															நிலநடுக்கம்																																																																																
																																					Tropical cyclone Windspeed climatology																																																															భూకంపం																																																																																
																																					Lightning in a tropical cyclone																																																															Заминларза																																																																																
																																					Warm core																																																															แผ่นดินไหว																																																																																
																																					Tropical meteorology																																																															Lindol																																																																																
																																					Hurriacne																																																															Deprem																																																																																
																																					Hurricaen																																																															Җир тетрәү																																																																																
																																					Hurricnae																																																															يەر تەۋرەش																																																																																
																																					Tropical system																																																															Землетрус																																																																																
																																					Tropical systems																																																															زلزلۂ																																																																																
																																					Tropical low																																																															Zilzila																																																																																
																																					Hyper-hurricane																																																															Teremoto																																																																																
																																					Hyper hurricane																																																															Động đất																																																																																
																																					Hyperhurricane																																																															Eirdbevienge																																																																																
																																					🌀																																																															Tronnmint d' tere																																																																																
																																					Tropical Hurricane																																																															ערדציטערניש																																																																																
																																					Tropical Cyclones																																																															Tē-tāng																																																																																
																																					Global warming and hurricanes																																																															Eorþbeofung																																																																																
																																					List of Tropical Depressions																																																															Terramotu																																																																																
																																					Solar flare																																																															Seismo																																																																																
																																					Solar Flare																																																															ᓴᔪᑉᐱᓛᕗᖅ																																																																																
																																					Solar flares																																																															Moningí																																																																																
																																					Solar eruption																																																															Umutingito																																																																																
																																					Sunspot flare																																																															Kundengenyeka kwenyika																																																																																
																																					Stellar flare																																																															زلزلہ																																																																																
																																					Fast ejection																																																															Taramòt																																																																																
																																					Flare																																																															Ginginéd																																																																																
																																					Flare spray																																																															Жер титирөө																																																																																
																																					Flare-spray																																																															Цунами																																																																																
																																					Spray																																																															Tsoenami																																																																																
																																					Solar Flare																																																															Tsunami																																																																																
																																					X-class flares																																																															تسونامي																																																																																
																																					X-class flare																																																															Sunami																																																																																
																																					Solar Flares																																																															Cunamis																																																																																
																																					Sun flare																																																															Цунамі																																																																																
																																					Gamma-ray burst																																																															সুনামি																																																																																
																																					Gamma rays burst																																																															Τσουνάμι																																																																																
																																					Gamma ray burster																																																															Cunamo																																																																																
																																					Gamma ray bursts																																																															سونامی																																																																																
																																					Gamma-ray bursts																																																															Súnámaí																																																																																
																																					Gamma-ray burster																																																															海嘯																																																																																
																																					Gammy ray bursts																																																															સુનામી																																																																																
																																					Gamma-Ray Burst																																																															צונמי																																																																																
																																					Gama ray burst																																																															सूनामी																																																																																
																																					Gamma burst																																																															Radmare																																																																																
																																					Afterglow																																																															Szökőár																																																																																
																																					Gamma ray burst																																																															Ցունամի																																																																																
																																					Afterglow																																																															Flóðbylgja																																																																																
																																					Gamma Ray Burst																																																															津波																																																																																
																																					Long gamma-ray bursts																																																															ಸುನಾಮಿ																																																																																
																																					Gamma ray flash																																																															지진 해일																																																																																
																																					Tornado																																																															Tsunamî																																																																																
																																					Tornadoes																																																															Megacyma																																																																																
																																					Tornadic																																																															സുനാമി																																																																																
																																					Wedge Tornado																																																															त्सुनामी																																																																																
																																					Occluded mesocyclone																																																															ဆူနာမီ																																																																																
																																					Supertornado																																																															Vleuigolve																																																																																
																																					Wedge tornado																																																															Flodbølgje																																																																																
																																					Occluded Mesocyclone																																																															Tó nitéél nitságoʼ atságáá																																																																																
																																					Tornado's																																																															Tsunamis																																																																																
																																					Tornando																																																															සුනාමි																																																																																
																																					Dangerous tornadoes																																																															ஆழிப்பேரலை																																																																																
																																					F6 tornado																																																															సునామి																																																																																
																																					Safest place in a tornado																																																															คลื่นสึนามิ																																																																																
																																					Tornadoe																																																															جنوبی ايشيا ميں سونامی																																																																																
																																					Maxitornado																																																															Sóng thần																																																																																
																																																																																																				海啸																																																																																
																																																																																																				צונאמי																																																																																
																																																																																																				Hái-tiòng																																																																																
																																																																																																				Dolnop																																																																																
																																																																																																				Maremoto																																																																																
																																																																																																				Haij Rongx																																																																																
																																																																																																				Град																																																																																
																																																																																																				Piedra																																																																																
																																																																																																				برد																																																																																
																																																																																																				Chhijchhi																																																																																
																																																																																																				Dolu																																																																																
																																																																																																				Kroša																																																																																
																																																																																																				Градушка																																																																																
																																																																																																				Grad																																																																																
																																																																																																				Calamarsa																																																																																
																																																																																																				Kroupy																																																																																
																																																																																																				Hagl																																																																																
																																																																																																				Hagel																																																																																
																																																																																																				Χαλάζι																																																																																
																																																																																																				Hajlo																																																																																
																																																																																																				Granizo																																																																																
																																																																																																				Rahe																																																																																
																																																																																																				Txingor																																																																																
																																																																																																				تگرگ																																																																																
																																																																																																				Rae																																																																																
																																																																																																				Grêle																																																																																
																																																																																																				Sarabia																																																																																
																																																																																																				Amandáu																																																																																
																																																																																																				Sniaghtey garroo																																																																																
																																																																																																				ברד																																																																																
																																																																																																				Tuča																																																																																
																																																																																																				Hujan es																																																																																
																																																																																																				Grelo																																																																																
																																																																																																				Grandine																																																																																
																																																																																																				ᓇᑕᖅᑯᕐᓇᐃᑦ/nataqqurnait																																																																																
																																																																																																				雹																																																																																
																																																																																																				სეტყვა																																																																																
																																																																																																				Бұршақ																																																																																
																																																																																																				우박																																																																																
																																																																																																				Zîpik																																																																																
																																																																																																				Grando																																																																																
																																																																																																				Kruša																																																																																
																																																																																																				Krusa																																																																																
																																																																																																				Havandra																																																																																
																																																																																																				ആലിപ്പഴം																																																																																
																																																																																																				गार																																																																																
																																																																																																				Hujan air batu																																																																																
																																																																																																				Hagel																																																																																
																																																																																																				Granissa																																																																																
																																																																																																				Chikchi																																																																																
																																																																																																				Grindină																																																																																
																																																																																																				Тобурах																																																																																
																																																																																																				Gragnola																																																																																
																																																																																																				Hail																																																																																
																																																																																																				Krúpa																																																																																
																																																																																																				Toča																																																																																
																																																																																																				Chivhuramabwe																																																																																
																																																																																																				Breshëri																																																																																
																																																																																																				Град																																																																																
																																																																																																				Mvua ya mawe																																																																																
																																																																																																				వడగళ్ళు																																																																																
																																																																																																				Жола																																																																																
																																																																																																				ลูกเห็บ																																																																																
																																																																																																				Mưa đá																																																																																
																																																																																																				Gurzea																																																																																
																																																																																																				冰雹																																																																																
																																																																																																				Haglél																																																																																
																																																																																																				Texihuitl																																																																																
																																																																																																				ஆலங்கட்டி மழை																																																																																
																																																																																																				Епидемија																																																																																
																																																																																																				Epidemie																																																																																
																																																																																																				وباء																																																																																
																																																																																																				Эпідэмія																																																																																
																																																																																																				Епидемия																																																																																
																																																																																																				Epidemija																																																																																
																																																																																																				Epidèmia																																																																																
																																																																																																				Эпидеми																																																																																
																																																																																																				Επιδημία																																																																																
																																																																																																				Epidemic																																																																																
																																																																																																				Epidemio																																																																																
																																																																																																				Epidemia																																																																																
																																																																																																				Epideemia																																																																																
																																																																																																				Izurri																																																																																
																																																																																																				همه‌گیری																																																																																
																																																																																																				Épidémie																																																																																
																																																																																																				Epidemik																																																																																
																																																																																																				Járvány																																																																																
																																																																																																				Wabah																																																																																
																																																																																																				Farsótt																																																																																
																																																																																																				伝染病																																																																																
																																																																																																				ეპიდემია																																																																																
																																																																																																				유행병																																																																																
																																																																																																				Wabak																																																																																
																																																																																																				Süük																																																																																
																																																																																																				Unquy mast'akuy																																																																																
																																																																																																				Эпидемия																																																																																
																																																																																																				Pidimìa																																																																																
																																																																																																				Epidémia																																																																																
																																																																																																				Gonjwa																																																																																
																																																																																																				మహమ్మారి																																																																																
																																																																																																				โรคระบาด																																																																																
																																																																																																				Salgın																																																																																
																																																																																																				Епідемія																																																																																
																																																																																																				流行病																																																																																
																																																																																																				Пошасьць																																																																																
																																																																																																				Dịch bệnh																																																																																
																																																																																																				Epidēmija																																																																																
																																																																																																				கொள்ளைநோய்																																																																																
																																																																																																				Епидемии																																																																																
																																																																																																				Тропски циклон																																																																																
																																																																																																				Ураган																																																																																
																																																																																																				Tropiese sikloon																																																																																
																																																																																																				Ciclón tropical																																																																																
																																																																																																				إعصار استوائي																																																																																
																																																																																																				Тропическа буря																																																																																
																																																																																																				Tropski ciklon																																																																																
																																																																																																				Cicló tropical																																																																																
																																																																																																				Hŭng-tăi																																																																																
																																																																																																				Bagyo																																																																																
																																																																																																				Tropická cyklóna																																																																																
																																																																																																				Corwynt																																																																																
																																																																																																				Orkan																																																																																
																																																																																																				Tropischer Wirbelsturm																																																																																
																																																																																																				Τροπικός κυκλώνας																																																																																
																																																																																																				Tropical cyclone																																																																																
																																																																																																				Uragano																																																																																
																																																																																																				Orkaan																																																																																
																																																																																																				Zikloi tropikal																																																																																
																																																																																																				توفند																																																																																
																																																																																																				Trooppinen hirmumyrsky																																																																																
																																																																																																				Marupöörüs																																																																																
																																																																																																				Cyclone tropical																																																																																
																																																																																																				Furacán																																																																																
																																																																																																				Makani Pāhili																																																																																
																																																																																																				סופה טרופית																																																																																
																																																																																																				उष्णकटिबंधीय चक्रवात																																																																																
																																																																																																				Tropska oluja																																																																																
																																																																																																				Siklòn twopikal																																																																																
																																																																																																				Trópusi ciklon																																																																																
																																																																																																				Siklon tropis																																																																																
																																																																																																				Fellibylur																																																																																
																																																																																																				Ciclone tropicale																																																																																
																																																																																																				熱帯低気圧																																																																																
																																																																																																				Vlile carna xamsi brife																																																																																
																																																																																																				ტროპიკული ციკლონი																																																																																
																																																																																																				ಚಂಡಮಾರುತ																																																																																
																																																																																																				열대 저기압																																																																																
																																																																																																				Typhon marinus																																																																																
																																																																																																				Uraganas																																																																																
																																																																																																				Viesuļvētra																																																																																
																																																																																																				Taufan																																																																																
																																																																																																				Tropisk syklon																																																																																
																																																																																																				Cyklon tropikalny																																																																																
																																																																																																				Hatun pillunkuy																																																																																
																																																																																																				Ciclon tropical																																																																																
																																																																																																				Тропический циклон																																																																																
																																																																																																				Hurikán																																																																																
																																																																																																				Uragani																																																																																
																																																																																																				Tropisk cyklon																																																																																
																																																																																																				Kimbunga																																																																																
																																																																																																				புயல்																																																																																
																																																																																																				พายุหมุนเขตร้อน																																																																																
																																																																																																				Kasırga																																																																																
																																																																																																				ئىسسىق بەلباغ سىكلونى																																																																																
																																																																																																				Тропічний циклон																																																																																
																																																																																																				طوفان																																																																																
																																																																																																				Xoáy thuận nhiệt đới																																																																																
																																																																																																				שטורעם ווינט																																																																																
																																																																																																				Ìjìláyípo Ilẹ̀-Olóoru																																																																																
																																																																																																				熱帶氣旋																																																																																
																																																																																																				Hong-thai																																																																																
																																																																																																				Трапічны цыклон																																																																																
																																																																																																				Трапічны цыклён																																																																																
																																																																																																				Тропически циклон																																																																																
																																																																																																				Тропиктік циклондар																																																																																
																																																																																																				Tropische cycloon																																																																																
																																																																																																				Tormenta tropikal																																																																																
																																																																																																				प्रभञ्जन																																																																																
																																																																																																				Торнадо																																																																																
																																																																																																				Tornado																																																																																
																																																																																																				إعصار																																																																																
																																																																																																				Тарнада																																																																																
																																																																																																				টর্নেডো																																																																																
																																																																																																				Tornádo																																																																																
																																																																																																				Σίφωνας																																																																																
																																																																																																				Tornado																																																																																
																																																																																																				Tromb																																																																																
																																																																																																				پیچند																																																																																
																																																																																																				Trombi																																																																																
																																																																																																				Tuulispää																																																																																
																																																																																																				Tornade																																																																																
																																																																																																				Cuairt-ghaoth																																																																																
																																																																																																				טורנדו																																																																																
																																																																																																				Tònad																																																																																
																																																																																																				Tornádó																																																																																
																																																																																																				Skýstrokkur																																																																																
																																																																																																				ᐅᓚᔪᔭᖅ/ulajujaq																																																																																
																																																																																																				竜巻																																																																																
																																																																																																				토네이도																																																																																
																																																																																																				Turbo																																																																																
																																																																																																				Viesulas																																																																																
																																																																																																				Virpuļviesulis																																																																																
																																																																																																				ടൊർണേഡോ																																																																																
																																																																																																				Puting beliung																																																																																
																																																																																																				Wervelstörm																																																																																
																																																																																																				Tornado																																																																																
																																																																																																				Niyoltsoh																																																																																
																																																																																																				Sinchi muyuq wayra																																																																																
																																																																																																				Tornadă																																																																																
																																																																																																				Смерч																																																																																
																																																																																																				Turnatu																																																																																
																																																																																																				Tornadoja																																																																																
																																																																																																				Tufani																																																																																
																																																																																																				குழல் காற்று																																																																																
																																																																																																				ทอร์นาโด																																																																																
																																																																																																				Buhawi																																																																																
																																																																																																				Hortum																																																																																
																																																																																																				Lốc xoáy																																																																																
																																																																																																				Хү																																																																																
																																																																																																				טארנאדא																																																																																
																																																																																																				龍捲風																																																																																
																																																																																																				Kńg-lê-á-hong																																																																																
																																																																																																				Viesols																																																																																
																																																																																																				ᐅᓚᔪᔭᖅ																																																																																
																																																																																																				ტორნადო																																																																																
																																																																																																				चक्रीवादळ																																																																																
																																																																																																				လေဆင်နှာမောင်း																																																																																
																																																																																																				Warvelwind																																																																																
																																																																																																				Níyoltsoh																																																																																
																																																																																																				Tornada																																																																																
